SLoc,Jan 2020,Feb 2020,Mar 2020,Apr 2020,May 2020,Jun 2020,Jul 2020,Aug 2020,Sep 2020,Oct 2020,Nov 2020,Dec 2020,Jan 2021,Feb 2021,Mar 2021,Apr 2021,May 2021,Jun 2021,Jul 2021,Aug 2021,Sep 2021,Oct 2021,Nov 2021,Dec 2021,Jan 2022,Feb 2022,Mar 2022,Apr 2022,May 2022,Jun 2022,Jul 2022,Aug 2022,Sep 2022,Oct 2022,Nov 2022,Dec 2022,Jan 2023,Feb 2023,Mar 2023,Apr 2023,May 2023,Jun 2023,Jul 2023,Aug 2023,Sep 2023,Oct 2023,Nov 2023,Dec 2023,Jan 2024,Feb 2024,Mar 2024,Apr 2024,May 2024,Jun 2024,Jul 2024,Aug 2024,Sep 2024,Oct 2024,Nov 2024,Dec 2024,Jan 2025,Feb 2025,Mar 2025,Apr 2025,May 2025,Jun 2025,Jul 2025,Aug 2025,Sep 2025,Oct 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mar 2026,Apr 2026
5001,19.0,21.0,15.0,0.0,5.0,22.0,14.0,15.0,21.0,17.0,16.0,15.0,34.0,17.0,29.0,12.0,11.0,24.0,6.0,19.0,20.0,17.0,14.0,15.0,20.0,22.0,14.0,24.0,19.0,12.0,5.0,4.0,22.0,19.0,21.0,13.0,21.0,40.0,26.0,28.0,18.0,18.0,15.0,13.0,8.0,16.0,23.0,33.0,46.0,54.0,40.0,33.0,33.0,30.0,25.0,26.0,22.0,41.0,43.0,38.0,36.0,37.0,48.0,40.0,32.0,34.0,54.0,27.0,50.0,25.0,49.0,46.0,43.0,56.0,52.0,46.0
5002,4.0,4.0,1.0,1.0,1.0,5.0,3.0,6.0,9.0,15.0,6.0,11.0,9.0,6.0,14.0,6.0,7.0,5.0,11.0,10.0,3.0,13.0,9.0,16.0,6.0,8.0,17.0,22.0,7.0,9.0,10.0,6.0,15.0,12.0,13.0,9.0,16.0,11.0,14.0,20.0,14.0,15.0,23.0,17.0,10.0,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5003,0.0,3.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,5.0,1.0,0.0,1.0,5.0,3.0,4.0,3.0,0.0,2.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,3.0,0.0,2.0,3.0,0.0,2.0,3.0,2.0,5.0,10.0,9.0,9.0,6.0,11.0,4.0,1.0,2.0,8.0,8.0,1.0,13.0,10.0,9.0,9.0,3.0,6.0,5.0,6.0,2.0,7.0,6.0,6.0,7.0,2.0,9.0,3.0,8.0,3.0,4.0,5.0,11.0,8.0,6.0,4.0,8.0,8.0,6.0,7.0,7.0,5.0
5004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0
5005,1.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,6.0,6.0,3.0,0.0,2.0,3.0,4.0,5.0,5.0,8.0,3.0,7.0,4.0,11.0,5.0,5.0,4.0,6.0,9.0,5.0,8.0,11.0,1.0,3.0,8.0,4.0,6.0,3.0,1.0,8.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,7.0,4.0,3.0,7.0,3.0,2.0,8.0,3.0,2.0,4.0,6.0,1.0,4.0,1.0,1.0,0.0,3.0,1.0
5006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5007,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5010,2.0,2.0,2.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,0.0,4.0,2.0,6.0,3.0,4.0,3.0,5.0,6.0,2.0,5.0,6.0,5.0,5.0,8.0,2.0,6.0,5.0,11.0,7.0,5.0,7.0,9.0,8.0,5.0,13.0,8.0,11.0,7.0,2.0,8.0,5.0,10.0,5.0,10.0,17.0,12.0,9.0,9.0,13.0,9.0,16.0,8.0,7.0,12.0,12.0,9.0,6.0,10.0,18.0,15.0,17.0,18.0,17.0,11.0,8.0,14.0,8.0,6.0,10.0,11.0,17.0,17.0
