Order,Material,SLoc,   Quantity,Pstng Date,,,,,,,,,,,
68166446,102,5030,-1,1/3/2026,,,,,,,,,,,
68166614,102,5042,-2,1/3/2026,,,,,,,,,,,
68160574,102,5041,-1,1/5/2026,,,,,,,,,,,
68174078,102,5041,-1,1/5/2026,,,,,,,,,,,
68174448,102,5023,-1,1/5/2026,,,,,,,,,,,
68186637,102,5030,-1,1/6/2026,,,,,,,,,,,
68184970,102,5042,-1,1/6/2026,,,,,,,,,,,
68161485,102,5005,-2,1/6/2026,,,,,,,,,,,
68186069,102,5028,-2,1/6/2026,,,,,,,,,,,
68193889,102,5022,-1,1/7/2026,,,,,,,,,,,
68166805,102,5011,-2,1/7/2026,,,,,,,,,,,
68191744,102,5021,-1,1/7/2026,,,,,,,,,,,
68186207,102,5024,-1,1/7/2026,,,,,,,,,,,
68175183,102,5021,-1,1/7/2026,,,,,,,,,,,
68040454,102,5001,-2,1/8/2026,,,,,,,,,,,
59678110,102,5001,-2,1/8/2026,,,,,,,,,,,
68144911,102,5001,-2,1/8/2026,,,,,,,,,,,
68039914,102,5001,-2,1/8/2026,,,,,,,,,,,
68201671,102,5003,-1,1/8/2026,,,,,,,,,,,
68206381,102,5003,-1,1/8/2026,,,,,,,,,,,
68206226,102,5021,-1,1/8/2026,,,,,,,,,,,
68215360,102,5042,-1,1/9/2026,,,,,,,,,,,
68217147,102,5001,-1,1/9/2026,,,,,,,,,,,
68186042,102,5001,-2,1/9/2026,,,,,,,,,,,
68214884,102,5001,-5,1/9/2026,,,,,,,,,,,
68211438,102,5030,-1,1/9/2026,,,,,,,,,,,
68209230,102,5001,-2,1/9/2026,,,,,,,,,,,
68180009,102,5001,-2,1/9/2026,,,,,,,,,,,
68217345,102,5033,-1,1/10/2026,,,,,,,,,,,
68223149,102,5030,-1,1/10/2026,,,,,,,,,,,
68221304,102,5030,-1,1/10/2026,,,,,,,,,,,
68174825,102,5023,-1,1/10/2026,,,,,,,,,,,
68218372,102,5001,-3,1/10/2026,,,,,,,,,,,
68218294,102,5001,-3,1/10/2026,,,,,,,,,,,
68217293,102,5006,-1,1/10/2026,,,,,,,,,,,
68228141,102,5001,-4,1/12/2026,,,,,,,,,,,
68180996,102,5001,-4,1/12/2026,,,,,,,,,,,
68173953,102,5001,-1,1/12/2026,,,,,,,,,,,
68185134,102,5001,-1,1/12/2026,,,,,,,,,,,
68228475,102,5041,-1,1/12/2026,,,,,,,,,,,
68226134,102,5030,-1,1/12/2026,,,,,,,,,,,
68227794,102,5001,-2,1/12/2026,,,,,,,,,,,
68226373,102,5001,-1,1/12/2026,,,,,,,,,,,
68228178,102,5042,-1,1/12/2026,,,,,,,,,,,
68242479,102,5030,-1,1/13/2026,,,,,,,,,,,
68235787,102,5030,-1,1/13/2026,,,,,,,,,,,
68242988,102,5001,-6,1/13/2026,,,,,,,,,,,
68239319,102,5001,-2,1/13/2026,,,,,,,,,,,
68239941,102,5021,-1,1/13/2026,,,,,,,,,,,
68158365,102,5022,-2,1/13/2026,,,,,,,,,,,
68126589,102,5001,-2,1/13/2026,,,,,,,,,,,
68240439,102,5001,-2,1/13/2026,,,,,,,,,,,
68239947,102,5021,-1,1/13/2026,,,,,,,,,,,
68239714,102,5042,-1,1/13/2026,,,,,,,,,,,
68250699,102,5001,-3,1/14/2026,,,,,,,,,,,
68250938,102,5042,-1,1/14/2026,,,,,,,,,,,
68110753,102,5001,-2,1/14/2026,,,,,,,,,,,
68250688,102,5001,-3,1/14/2026,,,,,,,,,,,
68250813,102,5042,-1,1/14/2026,,,,,,,,,,,
68261818,102,5001,-2,1/15/2026,,,,,,,,,,,
68261734,102,5001,-4,1/15/2026,,,,,,,,,,,
68257820,102,5030,-1,1/15/2026,,,,,,,,,,,
68257971,102,5030,-1,1/15/2026,,,,,,,,,,,
68237050,102,5021,-1,1/15/2026,,,,,,,,,,,
68247442,102,5001,-2,1/15/2026,,,,,,,,,,,
68261603,102,5001,-2,1/15/2026,,,,,,,,,,,
68258672,102,5021,-1,1/15/2026,,,,,,,,,,,
68258197,102,5030,-1,1/15/2026,,,,,,,,,,,
68267893,102,5001,-10,1/16/2026,,,,,,,,,,,
68265917,102,5001,-1,1/16/2026,,,,,,,,,,,
68272784,102,5001,-1,1/16/2026,,,,,,,,,,,
68273206,102,5023,-1,1/16/2026,,,,,,,,,,,
54672906,102,5001,1,1/16/2026,,,,,,,,,,,
54581680,102,5001,2,1/16/2026,,,,,,,,,,,
53050752,102,5001,2,1/16/2026,,,,,,,,,,,
68273476,102,5001,-2,1/16/2026,,,,,,,,,,,
68223730,102,5023,-1,1/16/2026,,,,,,,,,,,
68258852,102,5011,-2,1/16/2026,,,,,,,,,,,
68277410,102,5062,-1,1/16/2026,,,,,,,,,,,
68277495,102,5021,-1,1/17/2026,,,,,,,,,,,
68244045,102,5003,-2,1/17/2026,,,,,,,,,,,
68283470,102,5001,-2,1/17/2026,,,,,,,,,,,
68216513,102,5004,-1,1/17/2026,,,,,,,,,,,
68283158,102,5001,-1,1/17/2026,,,,,,,,,,,
68284341,102,5003,-1,1/19/2026,,,,,,,,,,,
68283603,102,5011,-2,1/19/2026,,,,,,,,,,,
68288509,102,5001,-4,1/19/2026,,,,,,,,,,,
68289193,102,5001,-2,1/19/2026,,,,,,,,,,,
68288531,102,5001,-2,1/19/2026,,,,,,,,,,,
68106604,102,5021,1,1/19/2026,,,,,,,,,,,
68286182,102,5001,-4,1/19/2026,,,,,,,,,,,
68288301,102,5001,-2,1/19/2026,,,,,,,,,,,
68287968,102,5010,-1,1/19/2026,,,,,,,,,,,
68287352,102,5022,-1,1/19/2026,,,,,,,,,,,
68288695,102,5061,-1,1/19/2026,,,,,,,,,,,
68287909,102,5023,-1,1/19/2026,,,,,,,,,,,
