Material,SLoc,Quantity,Pstng Date,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Equipment,Technician name
102,5030,-1,1/3/2026,,,,,,,,,,,,,
102,5042,-2,1/3/2026,,,,,,,,,,,,,
102,5041,-1,1/5/2026,,,,,,,,,,,,,
102,5041,-1,1/5/2026,,,,,,,,,,,,,
102,5023,-1,1/5/2026,,,,,,,,,,,,,
102,5030,-1,1/6/2026,,,,,,,,,,,,,
102,5042,-1,1/6/2026,,,,,,,,,,,,,
102,5005,-2,1/6/2026,,,,,,,,,,,,,
102,5028,-2,1/6/2026,,,,,,,,,,,,,
102,5022,-1,1/7/2026,,,,,,,,,,,,,
102,5011,-2,1/7/2026,,,,,,,,,,,,,
102,5021,-1,1/7/2026,,,,,,,,,,,,,
102,5024,-1,1/7/2026,,,,,,,,,,,,,
102,5021,-1,1/7/2026,,,,,,,,,,,,,
102,5001,-2,1/8/2026,,,,,,,,,,,,,
102,5001,-2,1/8/2026,,,,,,,,,,,,,
102,5001,-2,1/8/2026,,,,,,,,,,,,,
102,5001,-2,1/8/2026,,,,,,,,,,,,,
102,5003,-1,1/8/2026,,,,,,,,,,,,,
102,5003,-1,1/8/2026,,,,,,,,,,,,,
102,5021,-1,1/8/2026,,,,,,,,,,,,,
102,5042,-1,1/9/2026,,,,,,,,,,,,,
102,5001,-1,1/9/2026,,,,,,,,,,,,,
102,5001,-2,1/9/2026,,,,,,,,,,,,,
102,5001,-5,1/9/2026,,,,,,,,,,,,,
102,5030,-1,1/9/2026,,,,,,,,,,,,,
102,5001,-2,1/9/2026,,,,,,,,,,,,,
102,5001,-2,1/9/2026,,,,,,,,,,,,,
102,5033,-1,1/10/2026,,,,,,,,,,,,,
102,5030,-1,1/10/2026,,,,,,,,,,,,,
102,5030,-1,1/10/2026,,,,,,,,,,,,,
102,5023,-1,1/10/2026,,,,,,,,,,,,,
102,5001,-3,1/10/2026,,,,,,,,,,,,,
102,5001,-3,1/10/2026,,,,,,,,,,,,,
102,5006,-1,1/10/2026,,,,,,,,,,,,,
102,5001,-4,1/12/2026,,,,,,,,,,,,,
102,5001,-4,1/12/2026,,,,,,,,,,,,,
102,5001,-1,1/12/2026,,,,,,,,,,,,,
102,5001,-1,1/12/2026,,,,,,,,,,,,,
102,5041,-1,1/12/2026,,,,,,,,,,,,,
102,5030,-1,1/12/2026,,,,,,,,,,,,,
102,5001,-2,1/12/2026,,,,,,,,,,,,,
102,5001,-1,1/12/2026,,,,,,,,,,,,,
102,5042,-1,1/12/2026,,,,,,,,,,,,,
102,5030,-1,1/13/2026,,,,,,,,,,,,,
102,5030,-1,1/13/2026,,,,,,,,,,,,,
102,5001,-6,1/13/2026,,,,,,,,,,,,,
102,5001,-2,1/13/2026,,,,,,,,,,,,,
102,5021,-1,1/13/2026,,,,,,,,,,,,,
102,5022,-2,1/13/2026,,,,,,,,,,,,,
102,5001,-2,1/13/2026,,,,,,,,,,,,,
102,5001,-2,1/13/2026,,,,,,,,,,,,,
102,5021,-1,1/13/2026,,,,,,,,,,,,,
102,5042,-1,1/13/2026,,,,,,,,,,,,,
102,5001,-3,1/14/2026,,,,,,,,,,,,,
102,5042,-1,1/14/2026,,,,,,,,,,,,,
102,5001,-2,1/14/2026,,,,,,,,,,,,,
102,5001,-3,1/14/2026,,,,,,,,,,,,,
102,5042,-1,1/14/2026,,,,,,,,,,,,,
102,5001,-2,1/15/2026,,,,,,,,,,,,,
102,5001,-4,1/15/2026,,,,,,,,,,,,,
102,5030,-1,1/15/2026,,,,,,,,,,,,,
102,5030,-1,1/15/2026,,,,,,,,,,,,,
102,5021,-1,1/15/2026,,,,,,,,,,,,,
102,5001,-2,1/15/2026,,,,,,,,,,,,,
102,5001,-2,1/15/2026,,,,,,,,,,,,,
102,5021,-1,1/15/2026,,,,,,,,,,,,,
102,5030,-1,1/15/2026,,,,,,,,,,,,,
102,5001,-10,1/16/2026,,,,,,,,,,,,,
102,5001,-1,1/16/2026,,,,,,,,,,,,,
102,5001,-1,1/16/2026,,,,,,,,,,,,,
102,5023,-1,1/16/2026,,,,,,,,,,,,,
102,5001,1,1/16/2026,,,,,,,,,,,,,
102,5001,2,1/16/2026,,,,,,,,,,,,,
102,5001,2,1/16/2026,,,,,,,,,,,,,
102,5001,-2,1/16/2026,,,,,,,,,,,,,
102,5023,-1,1/16/2026,,,,,,,,,,,,,
102,5011,-2,1/16/2026,,,,,,,,,,,,,
102,5062,-1,1/16/2026,,,,,,,,,,,,,
102,5021,-1,1/17/2026,,,,,,,,,,,,,
102,5003,-2,1/17/2026,,,,,,,,,,,,,
102,5001,-2,1/17/2026,,,,,,,,,,,,,
102,5004,-1,1/17/2026,,,,,,,,,,,,,
102,5001,-1,1/17/2026,,,,,,,,,,,,,
102,5003,-1,1/19/2026,,,,,,,,,,,,,
102,5011,-2,1/19/2026,,,,,,,,,,,,,
102,5001,-4,1/19/2026,,,,,,,,,,,,,
102,5001,-2,1/19/2026,,,,,,,,,,,,,
102,5001,-2,1/19/2026,,,,,,,,,,,,,
102,5021,1,1/19/2026,,,,,,,,,,,,,
102,5001,-4,1/19/2026,,,,,,,,,,,,,
102,5001,-2,1/19/2026,,,,,,,,,,,,,
102,5010,-1,1/19/2026,,,,,,,,,,,,,
102,5022,-1,1/19/2026,,,,,,,,,,,,,
102,5061,-1,1/19/2026,,,,,,,,,,,,,
102,5023,-1,1/19/2026,,,,,,,,,,,,,
102,5041,-1,1/20/2026,,,,,,,,,,,,,
102,5030,-1,1/20/2026,,,,,,,,,,,,,
102,5005,-1,1/20/2026,,,,,,,,,,,,,
102,5030,-1,1/20/2026,,,,,,,,,,,,,
102,5001,-2,1/20/2026,,,,,,,,,,,,,
102,5001,-2,1/20/2026,,,,,,,,,,,,,
102,5030,-1,1/20/2026,,,,,,,,,,,,,
102,5030,-1,1/20/2026,,,,,,,,,,,,,
102,5021,-1,1/20/2026,,,,,,,,,,,,,
102,5023,-1,1/20/2026,,,,,,,,,,,,,
102,5021,-1,1/21/2026,,,,,,,,,,,,,
102,5022,-1,1/21/2026,,,,,,,,,,,,,
102,5021,-1,1/21/2026,,,,,,,,,,,,,
102,5042,-1,1/21/2026,,,,,,,,,,,,,
102,5030,-1,1/21/2026,,,,,,,,,,,,,
102,5046,-1,1/21/2026,,,,,,,,,,,,,
102,5030,-1,1/21/2026,,,,,,,,,,,,,
102,5041,-1,1/21/2026,,,,,,,,,,,,,
102,5001,-2,1/21/2026,,,,,,,,,,,,,
102,5001,-1,1/21/2026,,,,,,,,,,,,,
102,5006,-1,1/22/2026,,,,,,,,,,,,,
102,5021,-2,1/22/2026,,,,,,,,,,,,,
102,5014,-1,1/22/2026,,,,,,,,,,,,,
102,5014,-1,1/22/2026,,,,,,,,,,,,,
102,5041,1,1/22/2026,,,,,,,,,,,,,
102,5042,-2,1/22/2026,,,,,,,,,,,,,
102,5042,-4,1/22/2026,,,,,,,,,,,,,
102,5001,-2,1/22/2026,,,,,,,,,,,,,
102,5024,-1,1/22/2026,,,,,,,,,,,,,
102,5022,-2,1/22/2026,,,,,,,,,,,,,
102,5006,-1,1/22/2026,,,,,,,,,,,,,
102,5030,-1,1/22/2026,,,,,,,,,,,,,
102,5030,-1,1/23/2026,,,,,,,,,,,,,
102,5011,-2,1/23/2026,,,,,,,,,,,,,
102,5010,-1,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/23/2026,,,,,,,,,,,,,
102,5001,-2,1/23/2026,,,,,,,,,,,,,
102,5030,-1,1/23/2026,,,,,,,,,,,,,
102,5022,-2,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/23/2026,,,,,,,,,,,,,
102,5021,-1,1/24/2026,,,,,,,,,,,,,
102,5001,-1,1/24/2026,,,,,,,,,,,,,
102,5030,-1,1/24/2026,,,,,,,,,,,,,
102,5023,-1,1/27/2026,,,,,,,,,,,,,
102,5011,-2,1/27/2026,,,,,,,,,,,,,
102,5011,-2,1/27/2026,,,,,,,,,,,,,
102,5001,-1,1/27/2026,,,,,,,,,,,,,
102,5030,-2,1/27/2026,,,,,,,,,,,,,
102,5001,-1,1/27/2026,,,,,,,,,,,,,
102,5041,-1,1/28/2026,,,,,,,,,,,,,
102,5030,-1,1/28/2026,,,,,,,,,,,,,
102,5022,-1,1/28/2026,,,,,,,,,,,,,
102,5042,-2,1/28/2026,,,,,,,,,,,,,
102,5022,-2,1/28/2026,,,,,,,,,,,,,
102,5042,-1,1/29/2026,,,,,,,,,,,,,
102,5021,-1,1/29/2026,,,,,,,,,,,,,
