Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
49711224.0,102,5023,-1,2021-01-04,2021,16.15,23.43,11.21,84.15,1,Winter,12.22,North1,Haryana
49732495.0,102,5030,-1,2021-01-04,2021,17.43,26.26,11.53,76.5,1,Winter,14.730000000000002,North1,Delhi
49729042.0,102,5001,-2,2021-01-04,2021,23.68,29.5,19.22,71.52,1,Winter,10.28,West1,Mumbai
49729072.0,102,5001,-2,2021-01-04,2021,23.68,29.5,19.22,71.52,1,Winter,10.28,West1,Mumbai
49729699.0,102,5042,-2,2021-01-04,2021,18.42,25.08,13.98,82.88,1,Winter,11.099999999999998,South,Hyderabad
49728121.0,102,5030,-1,2021-01-04,2021,17.43,26.26,11.53,76.5,1,Winter,14.730000000000002,North1,Delhi
49729063.0,102,5001,-2,2021-01-04,2021,23.68,29.5,19.22,71.52,1,Winter,10.28,West1,Mumbai
49729344.0,102,5030,-1,2021-01-04,2021,17.43,26.26,11.53,76.5,1,Winter,14.730000000000002,North1,Delhi
49731172.0,102,5024,-1,2021-01-05,2021,17.02,22.16,14.13,81.4,1,Winter,8.03,North1,Jaipur
49732526.0,102,5030,-1,2021-01-05,2021,17.53,24.13,13.84,73.36,1,Winter,10.29,North1,Delhi
49729218.0,102,5003,-1,2021-01-05,2021,20.71,25.07,16.53,81.44,1,Winter,8.54,West1,Pune
49737976.0,102,5024,-1,2021-01-05,2021,17.02,22.16,14.13,81.4,1,Winter,8.03,North1,Jaipur
49737426.0,102,5024,-1,2021-01-05,2021,17.02,22.16,14.13,81.4,1,Winter,8.03,North1,Jaipur
49692522.0,102,5022,-1,2021-01-05,2021,21.31,30.19,15.05,50.4,1,Winter,15.14,North1,Uttar Pradesh
49729886.0,102,5001,-1,2021-01-05,2021,23.33,29.57,19.31,71.57,1,Winter,10.260000000000002,West1,Mumbai
49736428.0,102,5002,-2,2021-01-06,2021,23.69,30.64,19.04,68.91,1,Winter,11.6,West1,Navi Mumbai
49730660.0,102,5001,-4,2021-01-06,2021,23.69,30.64,19.04,68.91,1,Winter,11.6,West1,Mumbai
49022595.0,102,5002,2,2021-01-06,2021,23.69,30.64,19.04,68.91,1,Winter,11.6,West1,Navi Mumbai
