iter	RMSE
0	57.22813639
1	55.38520713
2	53.19125145
3	51.57219483
4	49.96515988
5	48.22527262
6	46.53235777
7	45.1669484
8	43.88801215
9	42.3492947
10	40.88238757
11	39.5827199
12	38.23169941
13	37.02083998
14	35.78401995
15	34.69095992
16	33.69627058
17	32.45751369
18	31.46512213
19	30.62134968
20	29.65805712
21	28.72188264
22	27.90191911
23	27.11099445
24	26.31884715
25	25.49263685
26	24.70813265
27	23.93603424
28	23.28634389
29	22.65500373
30	22.02098652
31	21.36337311
32	20.6258866
33	19.9721143
34	19.47645236
35	18.84224757
36	18.35245857
37	17.77907733
38	17.26766405
39	16.90158454
40	16.5935915
41	16.20528011
42	15.84541075
43	15.50952699
44	15.11506453
45	14.68681034
46	14.35095671
47	14.03812297
48	13.73278734
49	13.45935759
50	13.18014513
51	12.97935488
52	12.68194946
53	12.38341581
54	12.14210718
55	11.93528402
56	11.69368872
57	11.42422984
58	11.22165641
59	10.98865383
60	10.80286312
61	10.61241578
62	10.39933135
63	10.1999823
64	9.979403284
65	9.791902106
66	9.611280064
67	9.469043059
68	9.28732206
69	9.130390922
70	8.935667672
71	8.765216725
72	8.607349683
73	8.409147117
74	8.27895282
75	8.188754203
76	8.123032323
77	8.002124665
78	7.848375274
79	7.736635744
80	7.592684832
81	7.453544424
82	7.351383703
83	7.241598313
84	7.13041935
85	7.018534938
86	6.904809054
87	6.762073433
88	6.675997498
89	6.594687827
90	6.486319769
91	6.379703813
92	6.285714392
93	6.18740634
94	6.11055932
95	6.045314083
96	5.956868777
97	5.883135707
98	5.814892571
99	5.742748569
100	5.683194012
101	5.623888995
102	5.567871505
103	5.491255337
104	5.44144187
105	5.382716957
106	5.326819812
107	5.255891649
108	5.190528602
109	5.140301254
110	5.077852386
111	5.051297438
112	5.004908922
113	4.960402891
114	4.897546994
115	4.84363386
116	4.795762253
117	4.752216798
118	4.706673429
119	4.660033501
120	4.606618383
121	4.566978208
122	4.529277093
123	4.500823858
124	4.465877098
125	4.428466494
126	4.39202696
127	4.357912119
128	4.317611524
129	4.272593853
130	4.234147188
131	4.196001767
132	4.166451425
133	4.127708569
134	4.092849438
135	4.059177998
136	4.025495578
137	3.992265411
138	3.941325845
139	3.909784969
140	3.888273255
141	3.858034396
142	3.830288638
143	3.803849935
144	3.778656474
145	3.750120819
146	3.726287585
147	3.703572662
148	3.681922938
149	3.665916361
150	3.63621803
151	3.616366374
152	3.597458021
153	3.583290971
154	3.551660964
155	3.537940209
156	3.507317798
157	3.494026733
158	3.481216019
159	3.451500531
160	3.439087658
161	3.410314352
162	3.398285682
163	3.38669057
164	3.358766145
165	3.331786052
166	3.320487289
167	3.311551281
168	3.285422522
169	3.274693739
170	3.264352791
171	3.238988208
172	3.21721198
173	3.19268682
174	3.183042263
175	3.159289365
176	3.15151833
177	3.137740207
178	3.103748813
179	3.096357797
180	3.073973025
181	3.066788599
182	3.058052316
183	3.019601897
184	2.996973644
185	2.988433217
186	2.967582567
187	2.959187786
188	2.928751327
189	2.916422017
190	2.908061699
191	2.88823054
192	2.880014883
193	2.851215454
194	2.843172325
195	2.830675294
196	2.818454768
197	2.806504753
198	2.794819403
199	2.775454725
