iter	Passed	Remaining
0	0	102
1	1	100
2	1	108
3	2	103
4	2	99
5	3	99
6	3	95
7	3	92
8	4	90
9	4	88
10	5	86
11	5	83
12	5	81
13	5	79
14	6	78
15	6	78
16	7	78
17	7	78
18	8	77
19	8	78
20	9	78
21	9	77
22	9	75
23	10	74
24	10	73
25	10	73
26	11	72
27	11	72
28	12	71
29	12	71
30	12	70
31	13	70
32	13	70
33	14	69
34	14	69
35	15	68
36	15	68
37	15	67
38	16	66
39	16	65
40	16	65
41	17	64
42	17	63
43	17	62
44	18	62
45	18	61
46	18	61
47	19	60
48	19	60
49	20	60
50	20	59
51	20	59
52	21	58
53	21	58
54	21	57
55	22	56
56	22	56
57	23	56
58	23	55
59	23	55
60	24	54
61	24	54
62	24	54
63	25	53
64	25	53
65	26	53
66	26	52
67	26	51
68	27	51
69	27	51
70	27	50
71	28	49
72	28	49
73	28	49
74	29	48
75	29	48
76	29	47
77	30	47
78	30	46
79	30	46
80	31	46
81	31	45
82	32	45
83	32	45
84	33	44
85	33	44
86	33	44
87	34	43
88	34	43
89	34	42
90	35	42
91	35	41
92	35	41
93	36	40
94	36	40
95	37	40
96	37	40
97	38	39
98	38	39
99	38	38
100	39	38
101	39	38
102	40	37
103	40	37
104	40	36
105	41	36
106	41	36
107	41	35
108	42	35
109	42	35
110	43	34
111	43	34
112	43	33
113	44	33
114	44	33
115	45	32
116	45	32
117	45	31
118	46	31
119	46	31
120	46	30
121	47	30
122	47	29
123	48	29
124	48	29
125	49	28
126	49	28
127	49	27
128	50	27
129	50	27
130	50	26
131	50	26
132	51	25
133	51	25
134	51	24
135	52	24
136	52	24
137	52	23
138	53	23
139	53	22
140	53	22
141	54	22
142	54	21
143	54	21
144	55	20
145	55	20
146	56	20
147	56	19
148	56	19
149	56	18
150	57	18
151	57	18
152	58	17
153	58	17
154	58	17
155	59	16
156	59	16
157	60	15
158	60	15
159	60	15
160	60	14
161	61	14
162	61	13
163	61	13
164	62	13
165	62	12
166	62	12
167	63	12
168	63	11
169	63	11
170	64	10
171	64	10
172	65	10
173	65	9
174	65	9
175	66	9
176	66	8
177	67	8
178	67	7
179	67	7
180	68	7
181	68	6
182	68	6
183	69	6
184	69	5
185	69	5
186	70	4
187	70	4
188	71	4
189	71	3
190	72	3
191	72	3
192	72	2
193	73	2
194	73	1
195	73	1
196	74	1
197	74	0
198	74	0
199	75	0
