Order,Material,SLoc,Quantity,Pstng Date,,,,,,,,,
68165442,110,5030,-1,1/3/2026,,,,,,,,,
68166304,110,5030,-1,1/3/2026,,,,,,,,,
68166614,110,5042,-1,1/3/2026,,,,,,,,,
68165121,110,5041,-1,1/5/2026,,,,,,,,,
68165452,110,5021,-1,1/5/2026,,,,,,,,,
68166519,110,5021,-1,1/5/2026,,,,,,,,,
68175400,110,5030,-1,1/5/2026,,,,,,,,,
68175269,110,5042,-1,1/5/2026,,,,,,,,,
68174627,110,5021,-1,1/6/2026,,,,,,,,,
68174102,110,5021,-1,1/6/2026,,,,,,,,,
68176980,110,5021,-1,1/6/2026,,,,,,,,,
68184367,110,5021,-1,1/6/2026,,,,,,,,,
68187031,110,5043,-1,1/6/2026,,,,,,,,,
68186069,110,5028,-1,1/6/2026,,,,,,,,,
68188483,110,5043,-1,1/6/2026,,,,,,,,,
68187057,110,5043,-1,1/6/2026,,,,,,,,,
68184436,110,5021,-1,1/6/2026,,,,,,,,,
68184849,110,5021,-1,1/6/2026,,,,,,,,,
68194369,110,5023,-1,1/7/2026,,,,,,,,,
68188902,110,5043,-1,1/7/2026,,,,,,,,,
68188898,110,5043,-1,1/7/2026,,,,,,,,,
68167377,110,5025,-1,1/7/2026,,,,,,,,,
68194224,110,5001,-1,1/7/2026,,,,,,,,,
68191726,110,5021,-1,1/8/2026,,,,,,,,,
68209299,110,5021,-1,1/8/2026,,,,,,,,,
68204677,110,5041,-1,1/8/2026,,,,,,,,,
68216073,110,5030,-1,1/9/2026,,,,,,,,,
68214902,110,5021,-1,1/10/2026,,,,,,,,,
68215143,110,5021,-1,1/10/2026,,,,,,,,,
68223254,110,5001,-1,1/10/2026,,,,,,,,,
68221767,110,5021,-1,1/10/2026,,,,,,,,,
68224181,110,5028,-1,1/10/2026,,,,,,,,,
68223187,110,5023,-1,1/10/2026,,,,,,,,,
68223426,110,5022,-1,1/10/2026,,,,,,,,,
68225754,110,5022,-1,1/12/2026,,,,,,,,,
68225804,110,5022,-1,1/12/2026,,,,,,,,,
68228015,110,5023,-1,1/12/2026,,,,,,,,,
68227601,110,5021,-1,1/12/2026,,,,,,,,,
68226721,110,5030,-1,1/12/2026,,,,,,,,,
68209130,110,5041,-1,1/12/2026,,,,,,,,,
68227210,110,5021,-1,1/12/2026,,,,,,,,,
68224786,110,5021,-1,1/12/2026,,,,,,,,,
68240636,110,5022,-1,1/13/2026,,,,,,,,,
58263651,110,5022,1,1/13/2026,,,,,,,,,
68239228,110,5030,-1,1/13/2026,,,,,,,,,
68239247,110,5001,-1,1/13/2026,,,,,,,,,
68236558,110,5030,-1,1/13/2026,,,,,,,,,
68174102,110,5021,1,1/13/2026,,,,,,,,,
68251080,110,5001,-1,1/14/2026,,,,,,,,,
68263638,110,5030,-1,1/15/2026,,,,,,,,,
68256389,110,5030,-1,1/15/2026,,,,,,,,,
68184436,110,5021,1,1/15/2026,,,,,,,,,
