Material,Material Description,SLoc,Quantity,Pstng Date,,,,,,,,,,,,,
111,SCPU,5043,-1,1/1/2026,,,,,,,,,,,,,
111,SCPU,5043,1,1/1/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/3/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-2,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-2,1/5/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/5/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5001,1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5001,1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5025,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5026,-1,1/6/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5005,1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5025,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5061,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5036,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/7/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5025,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5044,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5044,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5061,-1,1/8/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5049,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5052,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5033,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5052,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5032,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5032,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/9/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5044,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5039,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5010,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5061,-1,1/10/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5005,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5025,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5011,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5011,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/12/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5003,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5003,1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5024,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5046,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5022,1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5022,1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5036,-1,1/13/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5043,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5043,1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5041,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5025,-1,1/14/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5003,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5036,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5033,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5003,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5028,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/15/2026,,,,,,,,,,,,,
111,SCPU,5001,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5023,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5021,1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5030,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5020,-11,1/16/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5042,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5022,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5061,-1,1/16/2026,,,,,,,,,,,,,
111,SCPU,5020,11,1/16/2026,,,,,,,,,,,,,
