Order,Material,SLoc,Quantity,Pstng Date,Merge_Date,Year
48573564.0,111,5001,-1,2020-01-10,2020-01-10,2020
48604398.0,111,5002,-1,2020-01-20,2020-01-20,2020
48602735.0,111,5001,-1,2020-01-20,2020-01-20,2020
48506157.0,111,5011,-1,2020-01-21,2020-01-21,2020
48614691.0,111,5002,-1,2020-01-22,2020-01-22,2020
48621818.0,111,5002,-1,2020-01-24,2020-01-24,2020
48624409.0,111,5011,-1,2020-01-24,2020-01-24,2020
48623777.0,111,5002,-1,2020-01-27,2020-01-27,2020
48627595.0,111,5001,-1,2020-01-27,2020-01-27,2020
48509254.0,111,5011,-1,2020-01-28,2020-01-28,2020
48627670.0,111,5011,-1,2020-01-28,2020-01-28,2020
48627635.0,111,5011,-1,2020-01-28,2020-01-28,2020
48648511.0,111,5002,-1,2020-02-03,2020-02-03,2020
48701143.0,111,5002,-1,2020-02-15,2020-02-15,2020
48713732.0,111,5023,-1,2020-02-19,2020-02-19,2020
48726905.0,111,5001,-1,2020-02-24,2020-02-24,2020
48736505.0,111,5001,-1,2020-02-27,2020-02-27,2020
48765848.0,111,5001,-1,2020-03-05,2020-03-05,2020
48673952.0,111,5001,-1,2020-03-06,2020-03-06,2020
48776668.0,111,5001,-1,2020-03-09,2020-03-09,2020
48776781.0,111,5002,-1,2020-03-09,2020-03-09,2020
48933831.0,111,5001,-1,2020-05-13,2020-05-13,2020
48999273.0,111,5001,-1,2020-06-05,2020-06-05,2020
49003774.0,111,5001,-1,2020-06-08,2020-06-08,2020
49095819.0,111,5042,-1,2020-07-04,2020-07-04,2020
49092265.0,111,5001,-1,2020-07-08,2020-07-08,2020
49120467.0,111,5001,-1,2020-07-13,2020-07-13,2020
49192181.0,111,5002,-1,2020-08-03,2020-08-03,2020
49400038.0,111,5002,-1,2020-10-03,2020-10-03,2020
49408110.0,111,5001,-2,2020-10-05,2020-10-05,2020
49429782.0,111,5001,-1,2020-10-10,2020-10-10,2020
49439024.0,111,5001,-1,2020-10-14,2020-10-14,2020
48818059.0,111,5001,-1,2020-10-24,2020-10-24,2020
49286375.0,111,5002,-1,2020-10-28,2020-10-28,2020
49409467.0,111,5002,-1,2020-11-05,2020-11-05,2020
49539652.0,111,5042,-1,2020-11-07,2020-11-07,2020
49541327.0,111,5002,-1,2020-11-09,2020-11-09,2020
49459609.0,111,5001,-1,2020-12-09,2020-12-09,2020
49283594.0,111,5001,-1,2020-12-09,2020-12-09,2020
49127787.0,111,5001,-1,2020-12-09,2020-12-09,2020
48553645.0,111,5001,-1,2020-12-11,2020-12-11,2020
49437114.0,111,5064,-1,2020-12-23,2020-12-23,2020
49689663.0,111,5063,-1,2020-12-23,2020-12-23,2020
