Material,Material Description,SLoc,Quantity,Pstng Date
111,SCPU,5001,-1,2024-04-27
111,SCPU,5001,-1,2024-04-27
111,SCPU,5001,-1,2024-04-27
111,SCPU,5001,-1,2024-06-06
111,SCPU,5033,-1,2024-06-26
111,SCPU,5022,-1,2024-07-05
111,SCPU,5019,-3,2024-07-30
111,SCPU,5019,3,2024-07-31
111,SCPU,5005,-1,2024-08-09
111,SCPU,5019,-3,2024-08-09
111,SCPU,5005,-1,2024-08-09
111,SCPU,5005,-1,2024-08-09
111,SCPU,5043,-1,2024-08-12
111,SCPU,5029,-1,2024-08-12
111,SCPU,5043,-1,2024-08-13
111,SCPU,5043,-1,2024-08-14
111,SCPU,5043,-1,2024-08-14
111,SCPU,5043,-1,2024-08-16
111,SCPU,5043,-1,2024-08-16
111,SCPU,5033,-1,2024-08-17
111,SCPU,5005,-1,2024-08-19
111,SCPU,5043,-1,2024-08-19
111,SCPU,5005,-1,2024-08-19
111,SCPU,5005,-1,2024-08-19
111,SCPU,5043,-1,2024-08-19
111,SCPU,5001,-1,2024-08-20
111,SCPU,5001,-1,2024-08-20
111,SCPU,5001,-1,2024-08-20
111,SCPU,5023,-1,2024-08-20
111,SCPU,5001,-1,2024-08-21
111,SCPU,5043,-1,2024-08-21
111,SCPU,5043,-1,2024-08-21
111,SCPU,5023,-1,2024-08-21
111,SCPU,5005,-1,2024-08-22
111,SCPU,5001,-1,2024-08-22
111,SCPU,5001,-1,2024-08-22
111,SCPU,5001,-1,2024-08-22
111,SCPU,5001,-1,2024-08-22
111,SCPU,5043,-1,2024-08-23
111,SCPU,5043,-1,2024-08-23
111,SCPU,5001,-1,2024-08-26
111,SCPU,50BK,-1,2024-08-26
111,SCPU,5001,-1,2024-08-26
111,SCPU,5001,-1,2024-08-26
111,SCPU,50BK,-1,2024-08-26
111,SCPU,5043,-1,2024-08-27
111,SCPU,5001,-1,2024-08-27
111,SCPU,50BK,-1,2024-08-28
111,SCPU,5001,-1,2024-08-28
111,SCPU,5001,-1,2024-08-28
111,SCPU,5001,-1,2024-08-28
111,SCPU,50BK,-1,2024-08-28
111,SCPU,5043,-1,2024-08-28
111,SCPU,5001,-1,2024-08-29
111,SCPU,5001,-1,2024-08-29
111,SCPU,5001,-1,2024-08-29
111,SCPU,5001,-1,2024-08-30
111,SCPU,5001,-1,2024-08-30
111,SCPU,5001,-1,2024-08-30
111,SCPU,5001,-1,2024-08-31
111,SCPU,5001,-1,2024-08-31
111,SCPU,5001,-1,2024-08-31
111,SCPU,5005,-1,2024-08-31
111,SCPU,5043,-1,2024-09-02
111,SCPU,5043,-1,2024-09-02
111,SCPU,5001,-1,2024-09-02
111,SCPU,5001,-1,2024-09-02
111,SCPU,5001,-1,2024-09-02
111,SCPU,5001,-1,2024-09-02
111,SCPU,5001,-1,2024-09-03
111,SCPU,5001,-1,2024-09-03
111,SCPU,5043,-1,2024-09-03
111,SCPU,5020,-50,2024-09-03
111,SCPU,5043,-1,2024-09-03
111,SCPU,5001,-1,2024-09-04
111,SCPU,5001,-1,2024-09-04
111,SCPU,5005,-1,2024-09-04
111,SCPU,5005,-1,2024-09-04
111,SCPU,5001,-1,2024-09-04
111,SCPU,5023,-1,2024-09-05
111,SCPU,5001,-1,2024-09-06
111,SCPU,5001,-1,2024-09-06
111,SCPU,5001,-1,2024-09-06
111,SCPU,5001,-1,2024-09-06
111,SCPU,5043,-1,2024-09-09
111,SCPU,5043,-1,2024-09-09
111,SCPU,5001,-1,2024-09-09
111,SCPU,5019,-3,2024-09-09
111,SCPU,5001,-1,2024-09-10
111,SCPU,5001,-1,2024-09-10
111,SCPU,5043,-1,2024-09-10
111,SCPU,5005,-1,2024-09-11
111,SCPU,5005,-1,2024-09-12
111,SCPU,5043,-1,2024-09-12
111,SCPU,5043,-1,2024-09-13
111,SCPU,5005,-1,2024-09-16
111,SCPU,5005,-1,2024-09-16
111,SCPU,5005,-1,2024-09-16
111,SCPU,5005,-1,2024-09-16
111,SCPU,5005,-1,2024-09-16
111,SCPU,5043,-1,2024-09-17
111,SCPU,5005,-1,2024-09-17
111,SCPU,5043,-1,2024-09-17
111,SCPU,5043,-1,2024-09-17
111,SCPU,5005,-1,2024-09-18
111,SCPU,5005,-1,2024-09-18
111,SCPU,5005,-1,2024-09-18
111,SCPU,5001,-1,2024-09-23
111,SCPU,5001,-1,2024-09-24
111,SCPU,5005,-1,2024-09-25
111,SCPU,5005,-1,2024-09-25
111,SCPU,5043,-1,2024-09-26
111,SCPU,5043,-1,2024-09-26
111,SCPU,5043,-1,2024-09-27
111,SCPU,5029,-1,2024-09-28
111,SCPU,5043,-1,2024-10-01
111,SCPU,5043,-1,2024-10-03
111,SCPU,5005,-1,2024-10-03
111,SCPU,5043,-1,2024-10-03
111,SCPU,5005,-1,2024-10-03
111,SCPU,5042,-1,2024-10-05
111,SCPU,5043,-1,2024-10-07
111,SCPU,5005,-1,2024-10-07
111,SCPU,5024,-1,2024-10-09
111,SCPU,5005,1,2024-10-09
111,SCPU,5005,-1,2024-10-10
111,SCPU,5005,-1,2024-10-11
111,SCPU,5024,-1,2024-10-14
111,SCPU,5005,-1,2024-10-14
111,SCPU,5005,-1,2024-10-14
111,SCPU,5024,-1,2024-10-14
111,SCPU,5005,-1,2024-10-15
111,SCPU,5005,-1,2024-10-16
111,SCPU,5061,-1,2024-10-16
111,SCPU,5005,-1,2024-10-16
111,SCPU,5043,-1,2024-10-18
111,SCPU,5005,-1,2024-10-21
111,SCPU,5043,-1,2024-10-21
111,SCPU,5043,-1,2024-10-22
111,SCPU,5005,1,2024-10-24
111,SCPU,5043,-1,2024-10-24
111,SCPU,5032,-1,2024-10-24
111,SCPU,5005,-1,2024-10-25
111,SCPU,5043,-1,2024-10-28
111,SCPU,5061,-1,2024-10-28
111,SCPU,5043,-1,2024-10-28
111,SCPU,5043,-1,2024-10-28
111,SCPU,5005,-1,2024-10-29
111,SCPU,5005,-1,2024-10-29
111,SCPU,5043,-1,2024-10-30
111,SCPU,5043,1,2024-10-31
111,SCPU,5043,-1,2024-11-04
111,SCPU,5043,-1,2024-11-04
111,SCPU,5019,-2,2024-11-06
111,SCPU,5019,-2,2024-11-06
111,SCPU,5019,2,2024-11-06
111,SCPU,5043,-1,2024-11-06
111,SCPU,5019,2,2024-11-06
111,SCPU,5019,-2,2024-11-06
111,SCPU,5043,-1,2024-11-07
111,SCPU,5020,-30,2024-11-07
111,SCPU,5043,-1,2024-11-08
111,SCPU,5043,-1,2024-11-11
111,SCPU,5043,-1,2024-11-11
111,SCPU,5043,-1,2024-11-12
111,SCPU,5061,-1,2024-11-12
111,SCPU,5032,-1,2024-11-13
111,SCPU,5043,-1,2024-11-13
111,SCPU,5043,1,2024-11-14
111,SCPU,5043,-1,2024-11-14
111,SCPU,5001,-2,2024-11-15
111,SCPU,5043,-1,2024-11-15
111,SCPU,5043,-1,2024-11-18
111,SCPU,5061,-1,2024-11-20
111,SCPU,5043,1,2024-11-21
111,SCPU,5043,-1,2024-11-25
111,SCPU,5043,-1,2024-11-25
111,SCPU,5043,-1,2024-11-25
111,SCPU,5043,-1,2024-11-25
111,SCPU,5043,-1,2024-11-25
111,SCPU,5043,-1,2024-11-25
111,SCPU,5005,-1,2024-11-26
111,SCPU,5043,-1,2024-11-26
111,SCPU,5032,-1,2024-11-27
111,SCPU,5043,-1,2024-11-29
111,SCPU,5005,-1,2024-12-02
111,SCPU,5005,-1,2024-12-02
111,SCPU,5005,-1,2024-12-02
111,SCPU,5043,1,2024-12-03
111,SCPU,5043,-1,2024-12-03
111,SCPU,5032,-1,2024-12-04
111,SCPU,5043,-1,2024-12-04
111,SCPU,5061,-1,2024-12-05
111,SCPU,5046,-1,2024-12-05
111,SCPU,5043,-1,2024-12-06
111,SCPU,5043,-1,2024-12-06
111,SCPU,5043,-1,2024-12-06
111,SCPU,5043,-1,2024-12-06
111,SCPU,5032,-1,2024-12-09
111,SCPU,5061,-1,2024-12-09
111,SCPU,5032,-1,2024-12-09
111,SCPU,5005,-1,2024-12-10
111,SCPU,5032,-1,2024-12-11
111,SCPU,5043,-1,2024-12-12
111,SCPU,5043,-1,2024-12-12
111,SCPU,5043,-1,2024-12-13
111,SCPU,5032,-1,2024-12-13
111,SCPU,5043,-1,2024-12-14
111,SCPU,5043,-1,2024-12-17
111,SCPU,5043,-1,2024-12-17
111,SCPU,5005,-1,2024-12-17
111,SCPU,5005,-1,2024-12-18
111,SCPU,5043,-1,2024-12-20
111,SCPU,5005,-1,2024-12-24
111,SCPU,5005,1,2024-12-26
111,SCPU,5043,-1,2024-12-27
111,SCPU,5043,-1,2024-12-27
111,SCPU,5043,-1,2024-12-27
111,SCPU,5005,-1,2024-12-27
111,SCPU,5023,-1,2024-12-31
111,SCPU,5043,1,2024-12-31
111,SCPU,5043,-1,2024-12-31
