Material,Material Description,SLoc,Quantity,Pstng Date,Tmax,Tmin,RH,Delta_T
111,SCPU,5001,-1,2024-04-27,43.04,26.64,47.74,16.4
111,SCPU,5001,-1,2024-04-27,43.04,26.64,47.74,16.4
111,SCPU,5001,-1,2024-04-27,43.04,26.64,47.74,16.4
111,SCPU,5001,-1,2024-06-06,36.18,27.94,69.4,8.239999999999998
111,SCPU,5033,-1,2024-06-26,42.32,32.8,45.34,9.520000000000003
111,SCPU,5022,-1,2024-07-05,31.05,26.95,86.57,4.100000000000001
111,SCPU,5019,-3,2024-07-30,,,,
111,SCPU,5019,3,2024-07-31,,,,
111,SCPU,5005,-1,2024-08-09,32.46,25.26,83.51,7.199999999999999
111,SCPU,5019,-3,2024-08-09,,,,
111,SCPU,5005,-1,2024-08-09,32.46,25.26,83.51,7.199999999999999
111,SCPU,5005,-1,2024-08-09,32.46,25.26,83.51,7.199999999999999
111,SCPU,5043,-1,2024-08-12,31.67,26.91,83.85,4.760000000000002
111,SCPU,5029,-1,2024-08-12,33.08,25.73,81.02,7.349999999999998
111,SCPU,5043,-1,2024-08-13,32.01,26.93,82.64,5.079999999999998
111,SCPU,5043,-1,2024-08-14,31.44,26.65,83.68,4.790000000000003
111,SCPU,5043,-1,2024-08-14,31.44,26.65,83.68,4.790000000000003
111,SCPU,5043,-1,2024-08-16,31.77,27.04,83.2,4.73
111,SCPU,5043,-1,2024-08-16,31.77,27.04,83.2,4.73
111,SCPU,5033,-1,2024-08-17,32.51,26.87,87.65,5.639999999999997
111,SCPU,5005,-1,2024-08-19,34.88,24.77,72.8,10.110000000000005
111,SCPU,5043,-1,2024-08-19,31.32,27.19,84.86,4.129999999999999
111,SCPU,5005,-1,2024-08-19,34.88,24.77,72.8,10.110000000000005
111,SCPU,5005,-1,2024-08-19,34.88,24.77,72.8,10.110000000000005
111,SCPU,5043,-1,2024-08-19,31.32,27.19,84.86,4.129999999999999
111,SCPU,5001,-1,2024-08-20,29.48,25.67,91.72,3.809999999999999
111,SCPU,5001,-1,2024-08-20,29.48,25.67,91.72,3.809999999999999
111,SCPU,5001,-1,2024-08-20,29.48,25.67,91.72,3.809999999999999
111,SCPU,5023,-1,2024-08-20,34.1,26.44,75.87,7.66
111,SCPU,5001,-1,2024-08-21,31.07,25.14,88.12,5.93
111,SCPU,5043,-1,2024-08-21,31.2,26.75,81.24,4.449999999999999
111,SCPU,5043,-1,2024-08-21,31.2,26.75,81.24,4.449999999999999
111,SCPU,5023,-1,2024-08-21,34.87,25.52,75.45,9.349999999999998
111,SCPU,5005,-1,2024-08-22,34.11,26.34,77.05,7.77
111,SCPU,5001,-1,2024-08-22,31.55,25.3,88.44,6.25
