Order,Material,SLoc,Quantity,Pstng Date,Year,Tavg,Tmax,Tmin,RH,Month,Season,Delta_T,Region,Location
68160889.0,111,5043,-1,2026-01-01,2026,24.68,27.36,22.93,85.81,1,Winter,4.43,South,Chennai
68160889.0,111,5043,1,2026-01-01,2026,24.68,27.36,22.93,85.81,1,Winter,4.43,South,Chennai
68165435.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68165114.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68165431.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68166288.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68166814.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68165741.0,111,5001,-1,2026-01-03,2026,22.55,30.57,16.83,70.22,1,Winter,13.740000000000002,West1,Mumbai
68171228.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68171910.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68171833.0,111,5030,-1,2026-01-03,2026,11.47,18.4,5.11,70.89,1,Winter,13.29,North1,Delhi
68171411.0,111,5001,-1,2026-01-03,2026,22.55,30.57,16.83,70.22,1,Winter,13.740000000000002,West1,Mumbai
68109242.0,111,5042,-1,2026-01-03,2026,19.37,25.75,14.22,80.7,1,Winter,11.53,South,Hyderabad
68166732.0,111,5042,-1,2026-01-03,2026,19.37,25.75,14.22,80.7,1,Winter,11.53,South,Hyderabad
68165661.0,111,5041,-1,2026-01-05,2026,19.8,28.74,12.86,65.5,1,Winter,15.88,South,Bangalore
68166793.0,111,5041,-1,2026-01-05,2026,19.8,28.74,12.86,65.5,1,Winter,15.88,South,Bangalore
68149256.0,111,5022,-1,2026-01-05,2026,11.66,19.2,5.28,69.15,1,Winter,13.919999999999998,North1,Uttar Pradesh
68171556.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68141734.0,111,5022,-1,2026-01-05,2026,11.66,19.2,5.28,69.15,1,Winter,13.919999999999998,North1,Uttar Pradesh
68168669.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68171362.0,111,5041,-1,2026-01-05,2026,19.8,28.74,12.86,65.5,1,Winter,15.88,South,Bangalore
68171821.0,111,5022,-1,2026-01-05,2026,11.66,19.2,5.28,69.15,1,Winter,13.919999999999998,North1,Uttar Pradesh
68161858.0,111,5022,-1,2026-01-05,2026,11.66,19.2,5.28,69.15,1,Winter,13.919999999999998,North1,Uttar Pradesh
68162812.0,111,5001,-2,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68174173.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68174155.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68174991.0,111,5023,-1,2026-01-05,2026,11.92,19.82,5.41,65.96,1,Winter,14.41,North1,Haryana
68175105.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68178599.0,111,5030,-1,2026-01-05,2026,11.39,18.95,4.17,70.98,1,Winter,14.78,North1,Delhi
68174866.0,111,5023,-1,2026-01-05,2026,11.92,19.82,5.41,65.96,1,Winter,14.41,North1,Haryana
68162832.0,111,5001,-2,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68174223.0,111,5001,-1,2026-01-05,2026,23.91,31.46,18.49,67.35,1,Winter,12.970000000000002,West1,Mumbai
68171868.0,111,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68183793.0,111,5022,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Uttar Pradesh
59718000.0,111,5001,1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68144177.0,111,5022,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Uttar Pradesh
68184849.0,111,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68184923.0,111,5022,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Uttar Pradesh
68185344.0,111,5042,-1,2026-01-06,2026,17.75,25.13,11.6,74.04,1,Winter,13.53,South,Hyderabad
68187155.0,111,5043,-1,2026-01-06,2026,23.67,26.74,21.44,76.55,1,Winter,5.299999999999997,South,Chennai
68178276.0,111,5001,-1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68184527.0,111,5021,-1,2026-01-06,2026,13.17,22.45,6.46,63.32,1,Winter,15.989999999999998,North1,Delhi
68183980.0,111,5001,-1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
59718001.0,111,5001,1,2026-01-06,2026,23.23,30.72,17.88,65.98,1,Winter,12.84,West1,Mumbai
68185167.0,111,5005,-1,2026-01-06,2026,17.99,28.24,10.31,52.2,1,Winter,17.93,West2,Ahmedabad
68185555.0,111,5010,-1,2026-01-06,2026,22.88,31.82,16.08,47.69,1,Winter,15.740000000000002,West2,Surat
68186668.0,111,5022,-1,2026-01-06,2026,12.65,21.24,5.91,69.32,1,Winter,15.329999999999998,North1,Uttar Pradesh
68187955.0,111,5005,-1,2026-01-06,2026,17.99,28.24,10.31,52.2,1,Winter,17.93,West2,Ahmedabad
68188037.0,111,5043,-1,2026-01-06,2026,23.67,26.74,21.44,76.55,1,Winter,5.299999999999997,South,Chennai
