Material,SLoc,Order,Quantity,Equipment Number,Technician Name,Tavg,Tmax,Tmin,RH,Delta_T,Date,Month,Year,Season,Location,Region
105,5004,11349981,-1,,,24.74,26.55,23.31,94.2,3.240000000000002,2025-05-29,5,2025,Summer,Goa,West2
105,5004,11349981,-1,,,24.74,26.55,23.31,94.2,3.240000000000002,2025-05-29,5,2025,Summer,Goa,West2
100,5030,48801824,1,10983537,Himanshu Chauhan,36.75,43.54,29.91,26.53,13.63,2020-05-28,5,2020,Summer,Delhi,North1
100,5030,48801824,1,10983537,Himanshu Chauhan,36.75,43.54,29.91,26.53,13.63,2020-05-28,5,2020,Summer,Delhi,North1
102,5042,49434785,-1,,,25.13,28.86,21.74,86.06,7.120000000000001,2020-10-16,10,2020,Post-Monsoon,Hyderabad,South
102,5042,49434785,-1,,,25.13,28.86,21.74,86.06,7.120000000000001,2020-10-16,10,2020,Post-Monsoon,Hyderabad,South
103,5025,49961838,-4,,,22.25,32.07,14.52,32.39,17.55,2021-03-05,3,2021,Summer,Punjab,North2
103,5025,49961838,-4,,,22.25,32.07,14.52,32.39,17.55,2021-03-05,3,2021,Summer,Punjab,North2
103,5003,50076830,-1,,,28.02,37.77,19.95,49.31,17.820000000000004,2021-04-23,4,2021,Summer,Pune,West1
103,5003,50076830,-1,,,28.02,37.77,19.95,49.31,17.820000000000004,2021-04-23,4,2021,Summer,Pune,West1
102,5001,50337300,-4,,,27.28,29.77,25.45,88.0,4.32,2021-06-21,6,2021,Summer,Mumbai,West1
102,5001,50337300,-4,,,27.28,29.77,25.45,88.0,4.32,2021-06-21,6,2021,Summer,Mumbai,West1
103,5042,50456805,-1,,,24.12,26.91,22.38,86.23,4.530000000000001,2021-07-21,7,2021,Monsoon,Hyderabad,South
103,5042,50456805,-1,,,24.12,26.91,22.38,86.23,4.530000000000001,2021-07-21,7,2021,Monsoon,Hyderabad,South
103,5042,50625400,-1,,,23.69,25.6,22.25,94.17,3.3500000000000014,2021-09-06,9,2021,Monsoon,Hyderabad,South
103,5042,50625400,-1,,,23.69,25.6,22.25,94.17,3.3500000000000014,2021-09-06,9,2021,Monsoon,Hyderabad,South
102,5001,50996779,-1,,,23.73,29.86,18.84,75.92,11.02,2021-12-10,12,2021,Winter,Mumbai,West1
102,5001,50996779,-1,,,23.73,29.86,18.84,75.92,11.02,2021-12-10,12,2021,Winter,Mumbai,West1
102,5022,51029721,-1,,,10.24,19.61,4.04,60.82,15.57,2021-12-18,12,2021,Winter,Uttar Pradesh,North1
102,5022,51029721,-1,,,10.24,19.61,4.04,60.82,15.57,2021-12-18,12,2021,Winter,Uttar Pradesh,North1
103,5021,51167825,-1,,,10.14,18.62,4.17,73.47,14.45,2022-01-27,1,2022,Winter,Delhi,North1
103,5021,51167825,-1,,,10.14,18.62,4.17,73.47,14.45,2022-01-27,1,2022,Winter,Delhi,North1
101,5021,51631676,-1,,,31.15,38.03,23.6,39.39,14.43,2022-05-23,5,2022,Summer,Delhi,North1
101,5021,51631676,-1,,,31.15,38.03,23.6,39.39,14.43,2022-05-23,5,2022,Summer,Delhi,North1
102,5004,52707202,-1,,,23.09,30.81,16.68,60.86,14.13,2022-12-19,12,2022,Winter,Goa,West2
102,5004,52707202,-1,,,23.09,30.81,16.68,60.86,14.13,2022-12-19,12,2022,Winter,Goa,West2
103,5041,52924249,1,,,22.63,33.06,13.44,38.93,19.620000000000005,2023-03-04,3,2023,Summer,Bangalore,South
103,5041,52924249,1,,,22.63,33.06,13.44,38.93,19.620000000000005,2023-03-04,3,2023,Summer,Bangalore,South
109,5030,53074420,-1,,,20.51,31.8,13.02,38.61,18.78,2023-02-21,2,2023,Winter,Delhi,North1
109,5030,53074420,-1,,,20.51,31.8,13.02,38.61,18.78,2023-02-21,2,2023,Winter,Delhi,North1
102,5014,53085847,-1,,,32.98,41.41,23.7,13.67,17.709999999999997,2023-04-25,4,2023,Summer,Vadodara,West2
