Material,SLoc,Order,Quantity,Equipment Number,Technician Name,Tavg,Tmax,Tmin,RH,Delta_T,Date,Month,Year,Season,Location,Region
103,5090,,-21,,,19.59,27.4,14.75,76.85,12.65,2026-01-23,1,2026,Winter,Pune,West 1
103,5090,,-75,,,20.57,26.88,15.08,76.49,11.8,2026-01-27,1,2026,Winter,Pune,West 1
103,5090,,-38,,,23.36,33.18,15.83,47.78,17.35,2026-02-16,2,2026,Winter,Pune,West 1
103,5090,,-50,,,25.16,33.81,18.77,55.84,15.040000000000004,2026-02-20,2,2026,Winter,Pune,West 1
103,5090,,-11,,,25.16,33.81,18.77,55.84,15.040000000000004,2026-02-20,2,2026,Winter,Pune,West 1
103,5090,,-50,,,25.16,33.4,19.24,41.73,14.16,2026-02-23,2,2026,Winter,Pune,West 1
103,5090,,-30,,,21.56,30.98,15.42,68.97,15.56,2026-02-28,2,2026,Winter,Pune,West 1
101,5090,,-1,,,28.17,37.88,20.18,54.05,17.700000000000003,2026-03-30,3,2026,Summer,Pune,West 1
103,5090,,-23,,,29.18,36.31,23.56,34.98,12.750000000000004,2026-03-26,3,2026,Summer,Pune,West 1
103,5090,,-34,,,28.41,37.53,21.09,34.46,16.44,2026-03-24,3,2026,Summer,Pune,West 1
103,5090,,-43,,,24.75,34.58,17.59,56.43,16.99,2026-03-17,3,2026,Summer,Pune,West 1
103,5090,,-147,,,26.97,36.57,20.2,33.76,16.37,2026-03-14,3,2026,Summer,Pune,West 1
103,5090,,-63,,,26.97,36.57,20.2,33.76,16.37,2026-03-14,3,2026,Summer,Pune,West 1
103,5090,,-10,,,27.07,37.63,18.11,25.1,19.520000000000003,2026-03-09,3,2026,Summer,Pune,West 1
103,5090,,-28,,,29.37,39.46,20.96,47.5,18.5,2026-04-16,4,2026,Summer,Pune,West 1
103,5090,,-30,,,30.6,39.66,23.46,44.48,16.199999999999996,2026-04-13,4,2026,Summer,Pune,West 1
103,5090,,-416,,,24.11,34.3,15.34,38.96,18.96,2025-02-20,2,2025,Winter,Pune,West 1
103,5090,,-244,,,29.89,38.93,22.15,25.76,16.78,2025-03-30,3,2025,Summer,Pune,West 1
103,5090,,-78,,,30.31,40.39,21.05,25.08,19.34,2025-04-07,4,2025,Summer,Pune,West 1
100,5090,,-1,,,29.82,40.62,20.92,44.22,19.7,2025-04-21,4,2025,Summer,Pune,West 1
104,5090,,-1,,,29.82,40.62,20.92,44.22,19.7,2025-04-21,4,2025,Summer,Pune,West 1
103,5090,,-141,,,30.17,39.3,22.26,41.74,17.039999999999996,2025-04-30,4,2025,Summer,Pune,West 1
103,5090,,-76,,,25.57,30.19,22.71,83.63,7.48,2025-06-09,6,2025,Summer,Pune,West 1
100,5001,,-1,,,28.51,32.56,25.11,79.95,7.450000000000003,2025-06-10,6,2025,Summer,Mumbai,West1
108,5001,,-1,,,28.51,32.56,25.11,79.95,7.450000000000003,2025-06-10,6,2025,Summer,Mumbai,West1
109,5001,,-1,,,28.51,32.56,25.11,79.95,7.450000000000003,2025-06-10,6,2025,Summer,Mumbai,West1
103,5090,,-368,,,24.08,26.26,22.68,91.56,3.580000000000002,2025-06-30,6,2025,Summer,Pune,West 1
105,5001,,-1,,,26.78,29.49,24.74,89.53,4.75,2025-07-19,7,2025,Monsoon,Mumbai,West1
103,5090,,-53,,,24.21,27.25,22.26,91.04,4.989999999999998,2025-07-21,7,2025,Monsoon,Pune,West 1
103,5090,,-235,,,22.67,24.37,21.41,95.88,2.960000000000001,2025-08-19,8,2025,Monsoon,Pune,West 1
103,5090,,-10,,,22.27,24.79,20.18,92.69,4.609999999999999,2025-09-26,9,2025,Monsoon,Pune,West 1
109,5041,,-1,,,22.58,27.21,19.23,84.23,7.98,2025-09-23,9,2025,Monsoon,Bangalore,South
103,5090,,-60,,,17.94,25.12,13.55,71.79,11.57,2025-11-29,11,2025,Post-Monsoon,Pune,West 1
103,5090,,-10,,,16.24,24.02,10.96,72.96,13.06,2025-11-17,11,2025,Post-Monsoon,Pune,West 1
111,5020,,-1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
111,5020,,1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
105,5020,,-1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
105,5020,,1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
108,5020,,-1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
108,5020,,1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
109,5020,,-1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
109,5020,,1,,,22.46,26.66,19.64,90.75,7.02,2025-11-03,11,2025,Post-Monsoon,Pune,West1
103,5090,,-5,,,17.73,26.02,11.12,64.65,14.9,2025-12-16,12,2025,Winter,Pune,West 1
103,5090,,-50,,,17.02,26.12,10.7,61.29,15.420000000000002,2025-12-10,12,2025,Winter,Pune,West 1
103,5090,,-100,,,20.44,26.78,16.39,79.78,10.39,2025-12-05,12,2025,Winter,Pune,West 1
101,5090,,-2,,,29.85,39.37,22.54,43.5,16.83,2024-03-27,3,2024,Summer,Pune,West 1
100,5001,,-1,,,31.81,36.98,28.57,64.38,8.409999999999997,2024-05-27,5,2024,Summer,Mumbai,West1
103,5001,,-5,,,31.81,36.98,28.57,64.38,8.409999999999997,2024-05-27,5,2024,Summer,Mumbai,West1
103,5090,,-78,,,25.04,27.54,23.07,90.83,4.469999999999999,2024-08-20,8,2024,Monsoon,Pune,West 1
103,5090,,-293,,,23.43,29.08,19.57,81.69,9.509999999999998,2024-10-24,10,2024,Post-Monsoon,Pune,West 1
103,5090,,-200,,,17.16,26.47,9.24,56.32,17.229999999999997,2024-12-17,12,2024,Winter,Pune,West 1
103,5090,,-125,,,19.82,26.76,15.54,84.46,11.220000000000002,2024-12-24,12,2024,Winter,Pune,West 1
105,5020,,-1,,,23.85,27.1,21.88,90.42,5.220000000000002,2023-08-26,8,2023,Monsoon,Pune,West1
108,5020,,-1,,,23.85,27.1,21.88,90.42,5.220000000000002,2023-08-26,8,2023,Monsoon,Pune,West1
100,5090,,-1,,,20.2,28.59,14.52,55.08,14.07,2023-12-22,12,2023,Winter,Pune,West 1
111,5020,,-5,,,20.71,29.95,11.62,41.32,18.33,2021-02-10,2,2021,Winter,Pune,West1
100,50TC,,-1,,,23.65,27.49,20.88,89.61,6.609999999999999,2021-08-26,8,2021,Monsoon,Pune,West 1
100,50TC,,-1,,,18.25,26.35,12.37,70.95,13.980000000000002,2021-12-25,12,2021,Winter,Pune,West 1
102,50TC,,-3,,,18.46,25.57,12.89,79.38,12.68,2020-01-10,1,2020,Winter,Pune,West 1
103,50TC,,-1,,,19.16,28.27,11.81,60.61,16.46,2020-02-05,2,2020,Winter,Pune,West 1
