iter	RMSE
0	3.358194769
1	3.327051417
2	3.297177888
3	3.258754281
4	3.230628701
5	3.205953239
6	3.17230026
7	3.147419591
8	3.119512559
9	3.091289741
10	3.063626285
11	3.033596018
12	3.008984427
13	2.986825089
14	2.959029509
15	2.936392478
16	2.913106613
17	2.889369516
18	2.863578906
19	2.834860382
20	2.813655379
21	2.793396733
22	2.775950207
23	2.752791519
24	2.733060222
25	2.713253089
26	2.694031921
27	2.672345197
28	2.650113243
29	2.625420596
30	2.610458965
31	2.588835643
32	2.572443109
33	2.553387701
34	2.537131865
35	2.512939482
36	2.491372305
37	2.471346882
38	2.451495587
39	2.43334024
40	2.418019655
41	2.402691384
42	2.383743828
43	2.365243524
44	2.349906414
45	2.331630677
46	2.314719085
47	2.291657991
48	2.275220603
49	2.257827293
50	2.238198829
51	2.220670315
52	2.200549217
53	2.184698448
54	2.167588272
55	2.152100587
56	2.132292105
57	2.115392586
58	2.101577622
59	2.088673683
60	2.073886223
61	2.058236294
62	2.044509379
63	2.033247275
64	2.018744464
65	2.006320678
66	1.994261461
67	1.979208733
68	1.963627513
69	1.950734254
70	1.937295296
71	1.923824426
72	1.910814571
73	1.899938969
74	1.884878615
75	1.872592909
76	1.860693257
77	1.847312093
78	1.835476335
79	1.825169388
80	1.811149419
81	1.798404761
82	1.786371629
83	1.773716886
84	1.762052312
85	1.749192429
86	1.737952081
87	1.724748595
88	1.710583031
89	1.697219933
90	1.684613617
91	1.670627683
92	1.655998537
93	1.643073813
94	1.63174286
95	1.625806816
96	1.614714388
97	1.604217103
98	1.592285371
99	1.580682657
100	1.56975204
101	1.56022346
102	1.550511933
103	1.539021492
104	1.528758436
105	1.518058296
106	1.507523743
107	1.498115463
108	1.489523786
109	1.479222098
110	1.470200121
111	1.461040801
112	1.450298408
113	1.441097351
114	1.432465374
115	1.423702576
116	1.413915063
117	1.403522914
118	1.3944594
119	1.386933395
120	1.37799745
121	1.371200623
122	1.362294055
123	1.356180518
124	1.345573844
125	1.337083476
126	1.326613683
127	1.31695658
128	1.308390779
129	1.299437767
130	1.29000552
131	1.281065239
132	1.27251128
133	1.262373002
134	1.25415151
135	1.245817998
136	1.236060245
137	1.228370778
138	1.220857605
139	1.213564722
140	1.205681088
141	1.196384373
142	1.188931787
143	1.180261721
144	1.171407328
145	1.16180074
146	1.152161799
147	1.14612139
148	1.138922264
149	1.131066394
150	1.121867774
151	1.114352373
152	1.108086805
