iter	Passed	Remaining
0	1	733
1	2	630
2	3	594
3	4	570
4	5	551
5	6	534
6	7	524
7	8	522
8	9	519
9	10	510
10	11	499
11	12	498
12	13	500
13	14	498
14	15	506
15	17	518
16	18	518
17	19	519
18	20	522
19	21	522
20	23	525
21	24	524
22	25	522
23	26	521
24	27	519
25	28	520
26	29	523
27	31	522
28	32	523
29	33	522
30	34	522
31	35	521
32	36	518
33	37	516
34	38	512
35	39	509
36	40	507
37	41	506
38	42	503
39	43	501
40	44	498
41	45	497
42	46	494
43	47	495
44	49	495
45	50	495
46	51	492
47	52	491
48	53	491
49	54	493
50	55	490
51	56	489
52	57	488
53	58	486
54	60	488
55	61	486
56	62	482
57	62	479
58	63	476
59	64	473
60	65	469
61	66	467
62	67	465
63	67	462
64	68	459
65	69	456
66	70	453
67	71	451
68	71	448
69	72	448
70	73	445
71	74	444
72	75	442
73	76	441
74	77	438
75	78	437
76	79	435
77	80	433
78	80	431
79	81	428
80	82	426
81	83	424
82	84	422
83	85	421
84	85	419
85	86	416
86	87	414
87	88	412
88	89	411
89	90	410
90	91	409
91	91	407
92	92	405
93	93	403
94	94	401
95	94	399
96	95	398
97	96	396
98	97	395
99	98	393
100	99	391
101	99	389
102	105	408
103	108	413
104	109	411
105	110	411
106	111	410
107	112	409
108	113	408
109	114	407
110	115	405
111	116	404
112	117	403
113	119	403
114	120	402
115	120	400
116	121	398
117	122	397
118	123	396
119	124	394
120	125	392
121	126	390
122	126	388
123	127	386
124	128	385
125	129	384
126	130	382
127	131	381
128	132	379
129	132	378
130	133	376
131	134	373
132	134	372
133	136	371
134	136	370
135	137	368
136	138	367
137	139	365
138	140	364
139	141	362
140	142	362
141	143	360
142	143	359
143	144	357
144	145	356
145	146	354
146	147	353
147	147	351
148	148	350
149	149	349
150	150	347
151	151	345
152	151	344
153	152	342
154	153	341
155	154	339
156	154	338
157	155	337
158	156	335
159	157	334
160	158	332
161	158	331
162	159	330
163	160	329
164	161	327
165	162	326
166	162	324
167	163	323
168	164	322
169	165	320
170	166	319
171	167	318
172	168	317
173	168	316
174	169	315
175	170	313
176	171	312
177	171	310
178	172	310
179	175	311
180	175	310
181	176	308
182	177	307
183	178	306
184	179	305
185	180	304
186	181	303
187	181	301
188	182	300
189	183	299
190	184	298
191	185	297
192	186	296
193	187	295
194	188	294
195	188	293
196	189	291
197	190	290
198	191	289
199	192	288
200	193	287
201	193	286
202	194	284
203	195	283
204	196	282
205	197	281
206	197	280
207	198	279
208	199	278
209	200	276
210	201	275
211	201	274
212	202	273
213	203	272
214	204	271
215	205	270
216	206	268
217	206	267
218	207	266
219	208	265
220	209	264
221	210	263
222	211	262
223	211	261
224	212	260
225	213	259
226	214	257
227	215	256
228	216	255
229	217	254
230	217	253
231	218	252
232	219	251
233	220	250
234	221	249
235	221	248
236	222	247
237	223	246
238	224	245
239	225	244
240	226	242
241	226	241
242	227	240
243	228	239
244	229	238
245	230	237
246	231	236
247	232	235
248	232	234
249	233	233
250	234	232
251	235	231
252	236	230
253	236	229
254	237	228
255	238	227
256	239	226
257	240	225
258	240	224
259	241	223
260	242	222
261	243	221
262	244	220
263	245	219
264	246	218
265	246	217
266	247	216
267	248	215
268	249	214
269	250	213
270	251	212
271	252	211
272	253	210
273	253	209
274	254	208
275	255	207
276	256	206
277	257	205
278	258	204
279	259	203
280	259	202
281	260	201
282	261	200
283	262	199
284	263	198
285	263	197
286	264	196
287	265	195
288	266	194
289	267	193
290	268	192
291	268	191
292	269	190
293	270	189
294	271	188
295	272	187
296	273	186
297	274	185
298	274	184
299	275	183
300	276	182
301	277	181
302	278	180
303	278	179
304	280	179
305	280	178
306	281	177
307	282	176
308	283	175
309	284	174
310	284	173
311	285	172
312	286	171
313	287	170
314	288	169
315	289	168
316	289	167
317	290	166
318	291	165
319	292	164
320	293	163
321	294	162
322	295	161
323	295	160
324	296	159
325	297	158
326	298	157
327	299	156
328	300	156
329	300	155
330	301	154
331	302	153
332	303	152
333	304	151
334	305	150
335	305	149
336	306	148
337	307	147
338	308	146
339	309	145
340	310	144
341	311	143
342	311	142
343	312	141
344	313	140
345	314	139
346	315	139
347	316	138
348	317	137
349	318	136
350	319	135
351	320	134
352	321	133
353	322	132
354	323	132
355	324	131
356	325	130
357	326	129
358	326	128
359	327	127
360	328	126
361	329	125
362	330	124
363	331	123
364	331	122
365	332	121
366	333	120
367	334	119
368	335	119
369	336	118
370	337	117
371	338	116
372	338	115
373	339	114
374	340	113
375	341	112
376	342	111
377	343	110
378	344	109
379	344	108
380	345	107
381	346	106
382	347	106
383	348	105
384	349	104
385	349	103
386	350	102
387	351	101
388	352	100
389	353	99
390	353	98
391	354	97
392	355	96
393	356	95
394	357	94
395	357	94
396	358	93
397	359	92
398	360	91
399	361	90
400	362	89
401	362	88
402	363	87
403	364	86
404	365	85
405	366	84
406	367	83
407	368	82
408	369	82
409	370	81
410	370	80
411	371	79
412	372	78
413	373	77
414	374	76
415	375	75
416	376	74
417	377	73
418	377	73
419	378	72
420	379	71
421	380	70
422	381	69
423	382	68
424	383	67
425	384	66
426	384	65
427	385	64
428	386	63
429	387	63
430	388	62
431	388	61
432	389	60
433	390	59
434	391	58
435	391	57
436	392	56
437	393	55
438	394	54
439	395	53
440	396	53
441	397	52
442	398	51
443	399	50
444	399	49
445	400	48
446	401	47
447	402	46
448	403	45
449	404	44
450	404	43
451	405	43
452	406	42
453	407	41
454	407	40
455	408	39
456	409	38
457	410	37
458	411	36
459	411	35
460	412	34
461	413	34
462	414	33
463	415	32
464	416	31
465	416	30
466	417	29
467	418	28
468	419	27
469	419	26
470	420	25
471	421	25
472	422	24
473	423	23
474	424	22
475	425	21
476	425	20
477	426	19
478	427	18
479	428	17
480	429	16
481	430	16
482	430	15
483	431	14
484	432	13
485	433	12
486	434	11
487	435	10
488	436	9
489	437	8
490	438	8
491	438	7
492	439	6
493	440	5
494	441	4
495	442	3
496	443	2
497	444	1
498	445	0
499	446	0
