SLOC,Location,Latitude,Longitude
5015,Dadra and Nagar Ha,20.233792,73.0495173
5019,Pune,18.5213738,73.8545071
5061,Kolkatta,12.9579315,77.6415049
5062,Ranchi,23.3700501,85.3250387
5063,Orissa,20.5431241,84.6897321
5064,Guwahati,26.1805978,91.753943
5065,Patna,25.6093239,85.1235252
5066,Nagaland,26.1630556,94.5884911
5067,Arunachal Pradesh,28.0937702,94.5921326
5068,Meghalaya,25.5379432,91.2999102
5069,Siliguri,26.7164127,88.4309916
5070,Sikkim,27.6016108,88.4550204
5071,Mizoram,23.2146169,92.8687612
5090,Pune,18.5213738,73.8545071
509A,Aurangabad,19.877263,75.3390241
5021,Delhi,28.6138954,77.2090057
5022,Uttar Pradesh,27.1303344,80.859666
5023,Haryana,29.0,76.0
5024,Jaipur,26.9154576,75.8189817
5028,Uttaranchal,30.0417376,79.089691
5029,Haryana,29.0,76.0
5030,Delhi,28.6138954,77.2090057
5031,Gwalior,26.2037247,78.1573628
5033,Lucknow,26.8381,80.9346001
5036,Udaipur,24.578721,73.6862571
5037,Agra,27.1752554,78.0098161
5038,Haryana,29.0,76.0
5040,Faridabad,28.4031478,77.3105561
5025,Punjab,30.9293211,75.5004841
5026,Chandigarh,30.7334421,76.7797143
5027,Himachal Pradesh,31.9292352,77.1828462
5032,Haryana,29.0,76.0
5034,Jammu,32.7185614,74.8580917
5035,Delhi,28.6138954,77.2090057
5039,Ludhiana,30.9090157,75.851601
5082,Faridabad,28.4031478,77.3105561
5084,Palwal,28.0599426,77.3223422
5TMC,Delhi,28.6138954,77.2090057
5041,Bangalore,12.9767936,77.590082
5042,Hyderabad,17.360589,78.4740613
5043,Chennai,13.0836939,80.270186
5044,Cochin,9.9679032,76.2444378
5045,Pondicherry ,10.9156489,79.8069488
5046,Andhra Pradesh,15.9240905,80.1863809
5047,Mangalore,12.8698101,74.8430082
5048,Bangalore,12.9767936,77.590082
5049,Tamilnadu,11.3323723,78.6098639
5050,Hubli Dharwad,15.3427544,75.1694536
5051,Hyderabad,17.360589,78.4740613
5052,Warangal,17.9820644,79.5970954
5053,Vizag,17.6935526,83.2921297
5060,Hosur,12.7183361,77.8229481
5083,Hosur,12.7183361,77.8229481
50B1,Bangalore,12.9767936,77.590082
50BK,Bangalore,12.9767936,77.590082
50BL,Bangalore,12.9767936,77.590082
50C1,Cochin,9.9679032,76.2444378
5018,Mumbai,19.054999,72.8692035
5000,Mumbai,19.054999,72.8692035
5001,Mumbai,19.054999,72.8692035
5002,Navi Mumbai,19.0308262,73.0198537
5003,Pune,18.5213738,73.8545071
5009,Nashik,20.0112475,73.7902364
5011,Virar,19.4497996,72.8120613
5012,Pune,18.5213738,73.8545071
5016,Virar,19.4497996,72.8120613
5017,Thane,19.3653598,73.3685437
5020,Pune,18.5213738,73.8545071
5081,Bhiwandi,19.3025562,73.0588072
58M1,Mumbai,19.054999,72.8692035
50P1,Pune,18.5213738,73.8545071
50S1,Pune,18.5213738,73.8545071
50S2,Pune,18.5213738,73.8545071
5004,Goa,15.3004543,74.0855134
5005,Ahmedabad,23.0215374,72.5800568
5006,Indore,22.7203616,75.8681996
5007,Raipur,21.2380912,81.6336993
5008,Nagpur,21.1498134,79.0820556
5010,Surat,21.2094892,72.8317058
5013,Daman and Diu,20.7181749,70.9323834
5014,Vadodara,22.2973142,73.1942567
50N1,Nagpur,21.1498134,79.0820556
5085,Pune,18.5213738,73.8545071
5086,Pune ,18.5213738,73.8545071
50NM,Mumbai,19.054999,72.8692035
50TC,Pune,18.5213738,73.8545071
50RD,Pune,18.5213738,73.8545071
